NOM,Prénom,Email,Mot de passe,Classe
BBI,Aaron,1@domain.com,,6 D
BEO,Abdellah,2@domain.com,,4 C
BERBI-COLO,Adam,3@domain.com,,3A
BES--DOHERT,Adam,4@domain.com,,6 C
BES--DOHERT,Adela,5@domain.com,,3 F
BET,Adem,6@domain.com,,"0,25"
BET,Adrian,7@domain.com,,5 D
BEYLI,Adrien,8@domain.com,,4 D
BEZILEIRI,Adrien,9@domain.com,,5 D
BIEOT,Adrien,10@domain.com,,"0,25"
BIRGHIIN,Adrien,11@domain.com,,3 F
BIRGIEO,Agathe,12@domain.com,,4 C
BIRVII,Agnès,13@domain.com,,6 L
BIS,Agnès,14@domain.com,,4 L
BITOV,Ahlam,15@domain.com,,3 L
BOFFI,Aida,16@domain.com,,3 F
BOIS,Aintzane,17@domain.com,,6 C
BORIEOD,Alaia,18@domain.com,,3 D
BORIEOD,Alaya,19@domain.com,,4 F
BOSC,Alboury,20@domain.com,,5 E
BOST TINOCO DE CONHE,Alessandro,21@domain.com,,4 G
BOY,Alexandre,22@domain.com,,6 E
BOZ,Alexandre,23@domain.com,,4 B
BRITO,Alexandre,24@domain.com,,6 B
BRONII-FIORINTINO,Alexane,25@domain.com,,4 C
BY,Alexia,26@domain.com,,3G
CBIRNIT,Alexiane,27@domain.com,,4 F
CEBY,Alice,28@domain.com,,"0,1666666667"
CEM,Aline,29@domain.com,,4 B
CERD,Alissia,30@domain.com,,"0,1666666667"
CERD,Alix,31@domain.com,,5 F
CERDETZ,Allan,32@domain.com,,6 C
CERDETZ,Allande,33@domain.com,,6 B
CESSOO-MENEGEL,Amaïa,34@domain.com,,3 B
CEZI--COLLIN,Amaiur,35@domain.com,,4 L
CHEDIEO,Amaiur,36@domain.com,,4 D
CHEMBRI,Amandine,37@domain.com,,6 C
CHEORREGE,Amandine,38@domain.com,,3 D
CHERT,Ambre,39@domain.com,,3 E
CHERY,Ambre,40@domain.com,,5 F
CHERY,Ambre,41@domain.com,,4 D
CHIBERNI,Ambre,42@domain.com,,"0,2083333333"
CHIBIRRY,Ambre,43@domain.com,,3 D
CHICOPER,Amélie,44@domain.com,,6 E
CHIGEREY,Amélie,45@domain.com,,5 D
CHI--HIINRICH,Amélie,46@domain.com,,5 C
CHIL,Amin,47@domain.com,,3 F
CHIN,Amy,48@domain.com,,"0,2083333333"
CHINNIC,Ana Luisa,49@domain.com,,4 G
CHIRON,Anaé,50@domain.com,,6 B
CHISNI,Anaëlle,51@domain.com,,5 E
CHITO,Anaëlle,52@domain.com,,5 C
CHITO,Anaïs,53@domain.com,,5 C
CHIT-PITRY,Ana-Louisa,54@domain.com,,"0,1666666667"
CHIT-PITRY,Ancelain,55@domain.com,,5 E
CHIVIRRY,Andoné,56@domain.com,,6 E
CHIVIRRY,Andoni,57@domain.com,,6 C
CHIVIRRY,Andoni,58@domain.com,,4 C
CHIVIRRY,Andoni,59@domain.com,,6 E
CHIVIRRY,Andoni,60@domain.com,,4 E
CHIVIRRY,Andrea,61@domain.com,,3 D
CHIVIRRY CESTEINGS,Andrea,62@domain.com,,5 F
CHOMMI,Andréa,63@domain.com,,"0,1666666667"
CHON,Angel,64@domain.com,,6 L
CIRON,Angel,65@domain.com,,3 F
CLE,Angel,66@domain.com,,"0,25"
CODIRO,Anna,67@domain.com,,5 B
COGEREY,Anna,68@domain.com,,3 B
COGEREY,Anna,69@domain.com,,4 E
COIOVRI,Anouk,70@domain.com,,3A
COLOMBI,Anouk,71@domain.com,,5 D
COMBI,Anthony,72@domain.com,,3A
COMBI,Anthony,73@domain.com,,4 D
COOFLI,Antoine,74@domain.com,,4 B
COOFLI,Antoine,75@domain.com,,"0,25"
COOIT,Antoine,76@domain.com,,3 B
COOREO,Antoine,77@domain.com,,4 F
COOREO,Antton,78@domain.com,,3 B
COOT,Antton,79@domain.com,,5 B
COSTE,Anushik,80@domain.com,,5 F
COYNECQ,Arthur,81@domain.com,,6 B
COYNECQ,Arthur,82@domain.com,,5 F
CQOIMIN,Arthur,83@domain.com,,4 D
CQOIT,Arthur,84@domain.com,,4 C
CQOIT,Asier,85@domain.com,,6 C
CQOIT,Astrid,86@domain.com,,5 G
CROIX ITCHIVIRRIE,Auguste,87@domain.com,,6 D
DDOK,Augustin,88@domain.com,,4 B
DDOK,Aurèle,89@domain.com,,4 B
DEL,Aurélie,90@domain.com,,3A
DELGO,Axel,91@domain.com,,6 B
DER--HOOILLON,Axel,92@domain.com,,3 C
DERT,Axelle,93@domain.com,,5 C
DERT,Axelle,94@domain.com,,3 F
DERT,Aziz,95@domain.com,,4 C
DERT,Badr,96@domain.com,,5 L
DI,Badr,97@domain.com,,6 E
DI,Baptiste,98@domain.com,,"0,1666666667"
DIGEREY,Baptiste,99@domain.com,,6 F
DIIO,Baptiste,100@domain.com,,3 C
DIN,Baptiste,101@domain.com,,"0,1666666667"
DIRI,Baptiste,102@domain.com,,3G
DIRICO,Baptiste,103@domain.com,,6 C
DIVILLE,Baptiste,104@domain.com,,4 C
DIVILLE,Baptiste,105@domain.com,,3 F
DIVIN,Bastien,106@domain.com,,4 G
DJI,Bastien,107@domain.com,,3A
DJI,Bastien,108@domain.com,,5 F
DOOX,Bastien,109@domain.com,,3 L
DREDI,Bastien,110@domain.com,,3 F
DREDI FIRNENDIS,Bastien,111@domain.com,,4 G
DRIGOIS,Benat,112@domain.com,,3 E
DRIGOIZ,Benjamin,113@domain.com,,6 F
DRII,Benjamin,114@domain.com,,3 D
EBIT DIT BOOCHIT,Benjamin,115@domain.com,,5 F
EBRIS-DOC,Benjamin,116@domain.com,,4 C
ECHI,Benoît,117@domain.com,,4 C
ECIIT,Benoît,118@domain.com,,4 B
ED,Bernardo,119@domain.com,,5 L
EDINI,Bixente,120@domain.com,,5 D
